614842,PMD-HT-0071,100.0
614842,GNA_F_00868666,20.0
614843,4090-9002,200.0
614844,451DC,1000.0
614844,USC075,2500.0
614845,BE-8723NH-1050,3150.0
614846,BE-8723NH-1050,2100.0
614846,01-0103-00221,20.0
614846,SSABS/2,50.0
614846,OC-13 -013-039-0004,100.0
614846,OC-13 -013-018-0039,100.0
614847,LP-FXN-WSR-FLT-GL06,15000.0
614847,LP-FXN-BLT-CRG-GL06020,10000.0
614847,STFP_F_00545525,50.0
614848,EDGE-01U-SP,14.0
614848,ECM-UM12-05-93Q,24.0
614848,Z757524QLZ88U008M,1.0
614848,Z757524QLZ88U009M,1.0
614848,Z757524QLZ88U010M,1.0
614848,Z757524QLZ88U011M,1.0
614848,Z757524QLZ88U012M,2.0
614848,Z757524QLZ88U013M,2.0
614848,Z757524QLZ88U014M,2.0
614848,KAXCSV-02408-C001,12.0
614848,CCABDB-Fi685-A070-C0,4.0
614848,CCABDB-Fi685-A080-C0,4.0
614848,CCABDB-Fi685-A090-C0,4.0
614848,CCABDB-FI685-A100-C0,4.0
614848,CCABDB-Fi685-A110-C0,4.0
614848,CCABDB-Fi685-A120-C0,8.0
614848,CCABDB-FI685-A130-C0,8.0
614848,CCABDB-FI685-A140-C0,8.0
614848,CCABDB-FI685-A150-C0,4.0
614819,IC8-RDO-M-BK-WR,20.0
614819,IC16-RDO-M-BK-WR,15.0
614819,E-CASE-F2525/12,15.0
614820,OC-13 -013-026-0005,30.0
614820,21-3690-00016,20.0
614820,OC-40 -040-003-0162,25.0
614820,50119,1500.0
614821,CCHEP-1111BB,25.0
614821,SPH-01P,25.0
614822,4009-9005,241.0
614822,4090-9010,200.0
614822,4009-9808,25.0
614823,4100-9701-22,1.0
614823,4100-9701-25,1.0
614824,4090-9010,6.0
614825,4100-9701-65,1.0
614826,4100-9701-19,1.0
614826,4100-9701-21,1.0
614828,52171.75,500.0
614828,USC075,1000.0
614828,451DC,500.0
614829,LP-FXN-NUT-HEX-GL06,20000.0
614829,LP-FXN-BLT-CRG-GL06020,20000.0
614827,EDGE-01U-SP,10.0
614827,ECM-UM12-05-93Q,28.0
614827,Z757524QLZ88U007M,1.0
614827,Z757524QLZ88U008M,1.0
614827,Z757524QLZ88U009M,1.0
614827,Z757524QLZ88U010M,1.0
614827,Z757524QLZ88U011M,1.0
614827,Z757524QLZ88U012M,1.0
614827,Z757524QLZ88U013M,1.0
614827,Z757524QLZ88U014M,1.0
614827,Z757524QLZ88U015M,1.0
614827,Z757524QLZ88U016M,1.0
614827,Z757548QLZ88U014M,1.0
614827,Z757548QLZ88U016M,1.0
614827,KAXCSV-02408-C001,10.0
614827,CCABDB-FI685-A070-C0,4.0
614827,CCABDB-FI685-A080-C0,4.0
614827,CCABDB-FI685-A090-C0,4.0
614827,CCABDB-FI685-A100-C0,4.0
614827,CCABDB-FI685-A110-C0,4.0
614827,CCABDB-FI685-A120-C0,4.0
614827,CCABDB-FI685-A130-C0,4.0
614827,CCABDB-FI685-A140-C0,4.0
614827,CCABDB-FI685-A150-C0,4.0
614827,CCABDB-FI685-A160-C0,4.0
614811,OC-13 -013-026-0005,60.0
614812,C6800-48P-SFP-XL,6.0
614813,OC-13 -013-020-0004,300.0
614813,21-3690-00016,50.0
614813,21-3690-00017,50.0
614813,21-3690-00018,50.0
614813,21-3690-00019,50.0
614813,13-3315-00027,200.0
614813,21-2203-00002,186.0
614814,21-3690-00016,50.0
614814,21-3690-00017,50.0
614814,21-3690-00018,50.0
614814,21-3690-00019,50.0
614814,OC-13 -013-026-0005,200.0
614816,23-0305-00006,1521.0
614816,PMD-HT-0279,180.0
614816,STC-52C1,3500.0
614816,OC-27 -027-006-0008,2000.0
614817,2084-9017,2.0
614818,23-0305-00006,676.0
614818,DCV3,300.0
614818,PRIME-100,25.0
614818,PRIME-075,25.0
614818,USC075,5000.0
614818,PMD-HT-0279,120.0
614818,52171.75,500.0
614818,461DC,3000.0
614818,ES1075,200.0
614800,OC-13 -013-020-0004,250.0
614800,23-0302-00086,24.0
614800,ECP100,300.0
614800,58585,1000.0
614800,21-3690-00016,50.0
614800,21-3690-00017,50.0
614800,21-3690-00018,50.0
614801,040402R5Z20003M,100.0
614801,040402G5ZZZ003M-GR,100.0
614801,030301Q2Z80003M,100.0
614801,037401Q2Z80006M,100.0
614802,040402R5Z20003M,50.0
614802,040402G5ZZZ003M-GR,50.0
614804,R.25-94TZ,50.0
614803,R.25-94TZ,50.0
614805,03-1605-00046,50.0
614792,CCHE-CP24-04,2.0
614792,CCH-01U,2.0
614791,ICL-F-DUAL-RDO-M-BK-WR,6.0
614790,WS-X4748-SFP-E=,12.0
614789,7979815,15.0
614789,03-1605-00037,120.0
614789,03-1605-00046,120.0
614789,040402G5Z20010M,50.0
614789,040402R5Z20003M,50.0
614789,040402G5ZZZ003M-GR,50.0
614793,BSP-4,300.0
614793,LS0HLT075,5.0
614793,25-0301-00018,60.0
614793,09.91.00-01.05.00,60.0
614793,09.91.23-08.01.11,60.0
614793,OC-04 -004-001-0002,200.0
614793,OC-39 -039-012-0001,4000.0
614793,OC-13 -013-028-0005,4000.0
614793,OC-13 -013-028-0006,4000.0
614793,PMD-HT-0139,4000.0
614793,21-3690-00016,80.0
614793,21-3690-00017,80.0
614793,21-3690-00018,80.0
614793,21-3690-00019,80.0
614794,23-0105-00028,300.0
614794,OC-13 -013-039-0004,1000.0
614795,23-0305-00006,507.0
614795,DFA3,600.0
614795,USC075,1000.0
614795,PMD-HT-0108,3.0
614796,LP-FXN-NUT-HEX-GL06,35000.0
614796,LP-FXN-WSR-FLT-GL10,30000.0
614796,13-3509-00013,50.0
614810,024ZEU-93120A2G,26705.0
614806,BE-8723NH-1000,3000.0
614807,LP-FXN-WSR-FLT-GL10,5000.0
614807,NYLON-ROPE,200.0
614807,LP-FXN-NUT-HEX-GL06,5000.0
614807,LP-FXN-BLT-RFG-GL0620NW,5000.0
614807,LP-FXN-BLT-CRG-GL06020,5000.0
614808,52171.75,250.0
614808,451DC,500.0
614808,461DC,500.0
614808,USC075,500.0
614808,OC-13 -013-039-0004,500.0
614808,53-1103-00024,30.0
614808,ES1075,500.0
614808,21-2401-00002,1000.0
